2025-10-21 17:21:49,243 | INFO | 5PAISA | POSITIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-21 17:33:03,025 | INFO | 5PAISA | NEGATIVE | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-21 17:33:03,042 | INFO | AAATECH | NEGATIVE | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-21 17:33:03,058 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-21 17:33:03,075 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-21 17:33:03,093 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
2025-10-21 18:00:07,567 | INFO | 5PAISA | NEGATIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-21 18:00:07,600 | INFO | 5PAISA | NEGATIVE | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-21 18:00:07,635 | INFO | AAATECH | NEGATIVE | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-21 18:00:07,661 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-21 18:00:07,688 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-21 18:00:07,714 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
2025-10-21 18:20:48,880 | INFO | 5PAISA | NEGATIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-21 18:20:48,942 | INFO | 5PAISA | NEGATIVE | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-21 18:20:48,988 | INFO | AAATECH | NEGATIVE | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-21 18:20:49,014 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-21 18:20:49,039 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-21 18:20:49,063 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
2025-10-22 13:54:46,350 | INFO | 5PAISA | NEGATIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-22 13:54:46,381 | INFO | 5PAISA | NEGATIVE | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-22 13:54:46,422 | INFO | AAATECH | NEGATIVE | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-22 13:54:46,452 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-22 13:54:46,482 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-22 13:54:46,510 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
2025-10-22 13:55:35,670 | INFO | 5PAISA | NEGATIVE | 2025-10-14T15:19:57Z | Discount brokers shed 26 lakh active clients in September quarter | https://www.thehindubusinessline.com/markets/discount-brokers-shed-26-lakh-active-clients-in-september-quarter/article70163516.ece
2025-10-22 13:55:35,735 | INFO | 5PAISA | NEGATIVE | 2025-10-10T00:30:00Z | Stock Market Today: All You Need To Know Going Into Trade On Oct. 10 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-10-3
2025-10-22 13:55:35,776 | INFO | AAATECH | NEGATIVE | 2025-10-10T01:10:38Z | Stock Market Live Updates 10 October 2025: Stock to buy today: GMR Airports (\u20b990.69) | https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-october-2025/article70139915.ece
2025-10-22 13:55:35,803 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-10-04T11:19:56.000000Z | Aequs DRHP: Shareholding Structure & Leadership Breakdown | https://inc42.com/buzz/aequs-drhp-shareholding-structure-leadership-breakdown/
2025-10-22 13:55:35,837 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-09-03T00:36:54.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Sept. 3 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-3-2025
2025-10-22 13:55:35,869 | INFO | 20MICRONS.NS, 21STCENMGM.NS, 360ONE.NS, 3IINFOLTD.NS, 3MINDIA.NS, 3PLAND.NS, 5PAISA.NS, 63MOONS.NS, A2ZINFRA.NS, AAATECH.NS, AADHARHFC.NS, AAKASH.NS, AAREYDRUGS.NS, AARON.NS, AARTECH.NS, AARTIDRUGS.NS, AARTIIND.NS, AARTIPHARM.NS, AARTISURF.NS, AARVI.NS | NEGATIVE | 2025-08-26T01:27:08.000000Z | Stock Market Today: All You Need To Know Going Into Trade On Aug. 26 | https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-august-26-2025
